Parent,Child,Sign
Lepidochitona,Diatoms,-1
Staphylinid-Beetle,Diatoms,-1
Henricia,Diatoms,-1
Semibalanus-cariosus,Fucus,1
Balanus-glandula,Fucus,1
Fucus,Fucus,1
Lottia-pelta,Fucus,-1
Lottia-digitalis,Fucus,-1
Lottia-paradigitalis,Fucus,-1
Lottia-scutum,Fucus,-1
Onchidella-borealis,Fucus,-1
Katharina-tunicata,Fucus,-1
Mopalia,Fucus,-1
Littorina-sitkana,Fucus,-1
Littorina-scutulata,Fucus,-1
Strongylocentrotus-purpuratus,Fucus,-1
Amphipoda,Fucus,-1
Idotea,Fucus,-1
Lepidochitona,Fucus,-1
Mytilus-californianus,Microcladia,-1
Mytilus-trossulus,Microcladia,-1
Microcladia,Microcladia,1
Phyllospadix,Microcladia,-1
Lottia-pelta,Microcladia,-1
Lottia-digitalis,Microcladia,-1
Lottia-paradigitalis,Microcladia,-1
Lottia-scutum,Microcladia,-1
Onchidella-borealis,Microcladia,-1
Katharina-tunicata,Microcladia,-1
Mopalia,Microcladia,-1
Littorina-sitkana,Microcladia,-1
Littorina-scutulata,Microcladia,-1
Strongylocentrotus-purpuratus,Microcladia,-1
Amphipoda,Microcladia,-1
Idotea,Microcladia,-1
Corallina-vancouvriensis,Halichondria-Haliclona,1
Halichondria-Haliclona,Halichondria-Haliclona,1
Phyllospadix,Halichondria-Haliclona,1
Calliostoma-ligatum,Halichondria-Haliclona,-1
Archidoris-montereyensis,Halichondria-Haliclona,-1
Hedophyllum,Hedophyllum,1
Lottia-pelta,Hedophyllum,-1
Lottia-scutum,Hedophyllum,-1
Katharina-tunicata,Hedophyllum,-1
Mopalia,Hedophyllum,-1
Strongylocentrotus-purpuratus,Hedophyllum,-1
Amphipoda,Hedophyllum,-1
Idotea,Hedophyllum,-1
Oedignathus,Hedophyllum,-1
Mytilus-californianus,Anthopleura,1
Anthopleura,Anthopleura,1
Nucella-ostrina,Anthopleura,1
Nucella-canalicalata,Anthopleura,1
Lottia-pelta,Anthopleura,1
Lottia-digitalis,Anthopleura,1
Lottia-paradigitalis,Anthopleura,1
Lottia-scutum,Anthopleura,1
Littorina-sitkana,Anthopleura,1
Littorina-scutulata,Anthopleura,1
Strongylocentrotus-purpuratus,Anthopleura,1
Amphipoda,Anthopleura,1
Amphissa-columbiana,Anthopleura,1
Idotea,Anthopleura,1
Cirolana,Anthopleura,1
Calliostoma-ligatum,Anthopleura,1
Ocenebra-interfossa,Anthopleura,1
Oedignathus,Anthopleura,1
Iridea,Iridea,1
Lottia-pelta,Iridea,-1
Lottia-digitalis,Iridea,-1
Lottia-paradigitalis,Iridea,-1
Lottia-scutum,Iridea,-1
Onchidella-borealis,Iridea,-1
Katharina-tunicata,Iridea,-1
Mopalia,Iridea,-1
Littorina-sitkana,Iridea,-1
Littorina-scutulata,Iridea,-1
Strongylocentrotus-purpuratus,Iridea,-1
Amphipoda,Iridea,-1
Idotea,Iridea,-1
Lepidochitona,Iridea,-1
Chthamalus,Chthamalus,1
Nemertea,Chthamalus,-1
Lepasterias-hexactis,Chthamalus,-1
Notoplana,Chthamalus,-1
Leathesia,Leathesia,1
Lottia-pelta,Leathesia,-1
Lottia-digitalis,Leathesia,-1
Lottia-paradigitalis,Leathesia,-1
Lottia-scutum,Leathesia,-1
Katharina-tunicata,Leathesia,-1
Mopalia,Leathesia,-1
Strongylocentrotus-purpuratus,Leathesia,-1
Amphipoda,Leathesia,-1
Idotea,Leathesia,-1
Lepidochitona,Leathesia,-1
Mytilus-californianus,Polysiphonia,-1
Mytilus-trossulus,Polysiphonia,-1
Polysiphonia,Polysiphonia,1
Phyllospadix,Polysiphonia,-1
Lottia-pelta,Polysiphonia,-1
Lottia-digitalis,Polysiphonia,-1
Lottia-paradigitalis,Polysiphonia,-1
Lottia-scutum,Polysiphonia,-1
Katharina-tunicata,Polysiphonia,-1
Mopalia,Polysiphonia,-1
Littorina-sitkana,Polysiphonia,-1
Littorina-scutulata,Polysiphonia,-1
Strongylocentrotus-purpuratus,Polysiphonia,-1
Amphipoda,Polysiphonia,-1
Idotea,Polysiphonia,-1
Ugly-Clam,Ugly-Clam,1
Nucella-ostrina,Ugly-Clam,-1
Nucella-canalicalata,Ugly-Clam,-1
Lepasterias-hexactis,Ugly-Clam,-1
Ocenebra-interfossa,Ugly-Clam,-1
Prionitis,Prionitis,1
Lottia-pelta,Prionitis,-1
Lottia-digitalis,Prionitis,-1
Lottia-paradigitalis,Prionitis,-1
Lottia-scutum,Prionitis,-1
Katharina-tunicata,Prionitis,-1
Mopalia,Prionitis,-1
Littorina-sitkana,Prionitis,-1
Littorina-scutulata,Prionitis,-1
Strongylocentrotus-purpuratus,Prionitis,-1
Amphipoda,Prionitis,-1
Idotea,Prionitis,-1
Lepidochitona,Prionitis,-1
Mytilus-californianus,Callithamnion,-1
Mytilus-trossulus,Callithamnion,-1
Callithamnion,Callithamnion,1
Phyllospadix,Callithamnion,-1
Lottia-pelta,Callithamnion,-1
Lottia-digitalis,Callithamnion,-1
Lottia-paradigitalis,Callithamnion,-1
Lottia-scutum,Callithamnion,-1
Katharina-tunicata,Callithamnion,-1
Mopalia,Callithamnion,-1
Littorina-sitkana,Callithamnion,-1
Littorina-scutulata,Callithamnion,-1
Strongylocentrotus-purpuratus,Callithamnion,-1
Amphipoda,Callithamnion,-1
Idotea,Callithamnion,-1
Corallina-vancouvriensis,Phyllospadix,1
Microcladia,Phyllospadix,1
Halichondria-Haliclona,Phyllospadix,-1
Polysiphonia,Phyllospadix,1
Callithamnion,Phyllospadix,1
Phyllospadix,Phyllospadix,1
Strongylocentrotus-purpuratus,Phyllospadix,-1
Mytilus-californianus,Nucella-ostrina,1
Mytilus-trossulus,Nucella-ostrina,1
Pollicipes,Nucella-ostrina,1
Semibalanus-cariosus,Nucella-ostrina,1
Balanus-glandula,Nucella-ostrina,1
Anthopleura,Nucella-ostrina,-1
Ugly-Clam,Nucella-ostrina,1
Nucella-ostrina,Nucella-ostrina,1
Lottia-pelta,Nucella-ostrina,1
Lottia-digitalis,Nucella-ostrina,1
Lottia-paradigitalis,Nucella-ostrina,1
Lottia-scutum,Nucella-ostrina,1
Nemertea,Nucella-ostrina,-1
Lepasterias-hexactis,Nucella-ostrina,-1
Idotea,Nucella-ostrina,-1
Notoplana,Nucella-ostrina,-1
Mytilus-californianus,Nucella-canalicalata,1
Mytilus-trossulus,Nucella-canalicalata,1
Pollicipes,Nucella-canalicalata,1
Semibalanus-cariosus,Nucella-canalicalata,1
Balanus-glandula,Nucella-canalicalata,1
Anthopleura,Nucella-canalicalata,-1
Ugly-Clam,Nucella-canalicalata,1
Nucella-canalicalata,Nucella-canalicalata,1
Lottia-pelta,Nucella-canalicalata,1
Lottia-digitalis,Nucella-canalicalata,1
Lottia-paradigitalis,Nucella-canalicalata,1
Lottia-scutum,Nucella-canalicalata,1
Mopalia,Nucella-canalicalata,-1
Nemertea,Nucella-canalicalata,-1
Lepasterias-hexactis,Nucella-canalicalata,-1
Idotea,Nucella-canalicalata,-1
Tonicella-lineata,Nucella-canalicalata,1
Notoplana,Nucella-canalicalata,-1
Hallosaccion,Lottia-pelta,1
Mastocarpus,Lottia-pelta,1
Endocladia,Lottia-pelta,1
Ulva,Lottia-pelta,1
Porphyra,Lottia-pelta,1
Acrosiphonia,Lottia-pelta,1
Diatoms,Lottia-pelta,1
Fucus,Lottia-pelta,1
Microcladia,Lottia-pelta,1
Hedophyllum,Lottia-pelta,1
Anthopleura,Lottia-pelta,-1
Iridea,Lottia-pelta,1
Leathesia,Lottia-pelta,1
Polysiphonia,Lottia-pelta,1
Prionitis,Lottia-pelta,1
Callithamnion,Lottia-pelta,1
Nucella-ostrina,Lottia-pelta,-1
Nucella-canalicalata,Lottia-pelta,-1
Lottia-pelta,Lottia-pelta,1
Nemertea,Lottia-pelta,-1
Lepasterias-hexactis,Lottia-pelta,-1
Ocenebra-interfossa,Lottia-pelta,-1
Notoplana,Lottia-pelta,-1
Pollicipes,Lottia-digitalis,1
Semibalanus-cariosus,Lottia-digitalis,1
Hallosaccion,Lottia-digitalis,1
Mastocarpus,Lottia-digitalis,1
Endocladia,Lottia-digitalis,1
Ulva,Lottia-digitalis,1
Porphyra,Lottia-digitalis,1
Acrosiphonia,Lottia-digitalis,1
Diatoms,Lottia-digitalis,1
Fucus,Lottia-digitalis,1
Microcladia,Lottia-digitalis,1
Anthopleura,Lottia-digitalis,-1
Iridea,Lottia-digitalis,1
Leathesia,Lottia-digitalis,1
Polysiphonia,Lottia-digitalis,1
Prionitis,Lottia-digitalis,1
Callithamnion,Lottia-digitalis,1
Nucella-ostrina,Lottia-digitalis,-1
Nucella-canalicalata,Lottia-digitalis,-1
Lottia-digitalis,Lottia-digitalis,1
Nemertea,Lottia-digitalis,-1
Lepasterias-hexactis,Lottia-digitalis,-1
Ocenebra-interfossa,Lottia-digitalis,-1
Notoplana,Lottia-digitalis,-1
Semibalanus-cariosus,Lottia-paradigitalis,1
Hallosaccion,Lottia-paradigitalis,1
Mastocarpus,Lottia-paradigitalis,1
Endocladia,Lottia-paradigitalis,1
Ulva,Lottia-paradigitalis,1
Porphyra,Lottia-paradigitalis,1
Acrosiphonia,Lottia-paradigitalis,1
Diatoms,Lottia-paradigitalis,1
Fucus,Lottia-paradigitalis,1
Microcladia,Lottia-paradigitalis,1
Anthopleura,Lottia-paradigitalis,-1
Iridea,Lottia-paradigitalis,1
Leathesia,Lottia-paradigitalis,1
Polysiphonia,Lottia-paradigitalis,1
Prionitis,Lottia-paradigitalis,1
Callithamnion,Lottia-paradigitalis,1
Nucella-ostrina,Lottia-paradigitalis,-1
Nucella-canalicalata,Lottia-paradigitalis,-1
Lottia-paradigitalis,Lottia-paradigitalis,1
Nemertea,Lottia-paradigitalis,-1
Lepasterias-hexactis,Lottia-paradigitalis,-1
Ocenebra-interfossa,Lottia-paradigitalis,-1
Notoplana,Lottia-paradigitalis,-1
Hallosaccion,Lottia-scutum,1
Mastocarpus,Lottia-scutum,1
Endocladia,Lottia-scutum,1
Ulva,Lottia-scutum,1
Porphyra,Lottia-scutum,1
Petrocelis-Ralfsia,Lottia-scutum,1
Acrosiphonia,Lottia-scutum,1
Diatoms,Lottia-scutum,1
Fucus,Lottia-scutum,1
Microcladia,Lottia-scutum,1
Hedophyllum,Lottia-scutum,1
Anthopleura,Lottia-scutum,-1
Iridea,Lottia-scutum,1
Leathesia,Lottia-scutum,1
Polysiphonia,Lottia-scutum,1
Prionitis,Lottia-scutum,1
Callithamnion,Lottia-scutum,1
Nucella-ostrina,Lottia-scutum,-1
Nucella-canalicalata,Lottia-scutum,-1
Lottia-scutum,Lottia-scutum,1
Nemertea,Lottia-scutum,-1
Lepasterias-hexactis,Lottia-scutum,-1
Ocenebra-interfossa,Lottia-scutum,-1
Notoplana,Lottia-scutum,-1
Ulva,Onchidella-borealis,1
Acrosiphonia,Onchidella-borealis,1
Diatoms,Onchidella-borealis,1
Fucus,Onchidella-borealis,1
Microcladia,Onchidella-borealis,1
Iridea,Onchidella-borealis,1
Onchidella-borealis,Onchidella-borealis,1
Hallosaccion,Katharina-tunicata,1
Mastocarpus,Katharina-tunicata,1
Corallina-vancouvriensis,Katharina-tunicata,1
Endocladia,Katharina-tunicata,1
Ulva,Katharina-tunicata,1
Porphyra,Katharina-tunicata,1
Acrosiphonia,Katharina-tunicata,1
Diatoms,Katharina-tunicata,1
Fucus,Katharina-tunicata,1
Microcladia,Katharina-tunicata,1
Hedophyllum,Katharina-tunicata,1
Iridea,Katharina-tunicata,1
Leathesia,Katharina-tunicata,1
Polysiphonia,Katharina-tunicata,1
Prionitis,Katharina-tunicata,1
Callithamnion,Katharina-tunicata,1
Katharina-tunicata,Katharina-tunicata,1
Lepasterias-hexactis,Katharina-tunicata,-1
Hallosaccion,Mopalia,1
Mastocarpus,Mopalia,1
Endocladia,Mopalia,1
Ulva,Mopalia,1
Porphyra,Mopalia,1
Acrosiphonia,Mopalia,1
Diatoms,Mopalia,1
Fucus,Mopalia,1
Microcladia,Mopalia,1
Hedophyllum,Mopalia,1
Iridea,Mopalia,1
Leathesia,Mopalia,1
Polysiphonia,Mopalia,1
Prionitis,Mopalia,1
Callithamnion,Mopalia,1
Nucella-canalicalata,Mopalia,1
Mopalia,Mopalia,1
Ocenebra-interfossa,Mopalia,-1
Balanus-glandula,Nemertea,1
Chthamalus,Nemertea,1
Nucella-ostrina,Nemertea,1
Nucella-canalicalata,Nemertea,1
Lottia-pelta,Nemertea,1
Lottia-digitalis,Nemertea,1
Lottia-paradigitalis,Nemertea,1
Lottia-scutum,Nemertea,1
Nemertea,Nemertea,1
Skinny-annelid,Nemertea,1
Hallosaccion,Littorina-sitkana,1
Mastocarpus,Littorina-sitkana,1
Endocladia,Littorina-sitkana,1
Ulva,Littorina-sitkana,1
Porphyra,Littorina-sitkana,1
Acrosiphonia,Littorina-sitkana,1
Diatoms,Littorina-sitkana,1
Fucus,Littorina-sitkana,1
Microcladia,Littorina-sitkana,1
Anthopleura,Littorina-sitkana,-1
Iridea,Littorina-sitkana,1
Polysiphonia,Littorina-sitkana,1
Prionitis,Littorina-sitkana,1
Callithamnion,Littorina-sitkana,1
Littorina-sitkana,Littorina-sitkana,1
Lepasterias-hexactis,Littorina-sitkana,-1
Notoplana,Littorina-sitkana,-1
Hallosaccion,Littorina-scutulata,1
Mastocarpus,Littorina-scutulata,1
Endocladia,Littorina-scutulata,1
Ulva,Littorina-scutulata,1
Porphyra,Littorina-scutulata,1
Acrosiphonia,Littorina-scutulata,1
Diatoms,Littorina-scutulata,1
Fucus,Littorina-scutulata,1
Microcladia,Littorina-scutulata,1
Anthopleura,Littorina-scutulata,-1
Iridea,Littorina-scutulata,1
Polysiphonia,Littorina-scutulata,1
Prionitis,Littorina-scutulata,1
Callithamnion,Littorina-scutulata,1
Littorina-scutulata,Littorina-scutulata,1
Lepasterias-hexactis,Littorina-scutulata,-1
Notoplana,Littorina-scutulata,-1
Hallosaccion,Strongylocentrotus-purpuratus,1
Mastocarpus,Strongylocentrotus-purpuratus,1
Corallina-vancouvriensis,Strongylocentrotus-purpuratus,1
Endocladia,Strongylocentrotus-purpuratus,1
Ulva,Strongylocentrotus-purpuratus,1
Porphyra,Strongylocentrotus-purpuratus,1
Acrosiphonia,Strongylocentrotus-purpuratus,1
Diatoms,Strongylocentrotus-purpuratus,1
Fucus,Strongylocentrotus-purpuratus,1
Microcladia,Strongylocentrotus-purpuratus,1
Hedophyllum,Strongylocentrotus-purpuratus,1
Anthopleura,Strongylocentrotus-purpuratus,-1
Iridea,Strongylocentrotus-purpuratus,1
Leathesia,Strongylocentrotus-purpuratus,1
Polysiphonia,Strongylocentrotus-purpuratus,1
Prionitis,Strongylocentrotus-purpuratus,1
Callithamnion,Strongylocentrotus-purpuratus,1
Phyllospadix,Strongylocentrotus-purpuratus,1
Strongylocentrotus-purpuratus,Strongylocentrotus-purpuratus,1
Mytilus-californianus,Lepasterias-hexactis,1
Mytilus-trossulus,Lepasterias-hexactis,1
Pollicipes,Lepasterias-hexactis,1
Semibalanus-cariosus,Lepasterias-hexactis,1
Balanus-glandula,Lepasterias-hexactis,1
Chthamalus,Lepasterias-hexactis,1
Ugly-Clam,Lepasterias-hexactis,1
Nucella-ostrina,Lepasterias-hexactis,1
Nucella-canalicalata,Lepasterias-hexactis,1
Lottia-pelta,Lepasterias-hexactis,1
Lottia-digitalis,Lepasterias-hexactis,1
Lottia-paradigitalis,Lepasterias-hexactis,1
Lottia-scutum,Lepasterias-hexactis,1
Katharina-tunicata,Lepasterias-hexactis,1
Littorina-sitkana,Lepasterias-hexactis,1
Littorina-scutulata,Lepasterias-hexactis,1
Lepasterias-hexactis,Lepasterias-hexactis,1
Amphissa-columbiana,Lepasterias-hexactis,1
Tonicella-lineata,Lepasterias-hexactis,1
Calliostoma-ligatum,Lepasterias-hexactis,1
Ocenebra-interfossa,Lepasterias-hexactis,1
Lepidochitona,Lepasterias-hexactis,1
Hallosaccion,Amphipoda,1
Mastocarpus,Amphipoda,1
Endocladia,Amphipoda,1
Ulva,Amphipoda,1
Porphyra,Amphipoda,1
Acrosiphonia,Amphipoda,1
Diatoms,Amphipoda,1
Fucus,Amphipoda,1
Microcladia,Amphipoda,1
Hedophyllum,Amphipoda,1
Anthopleura,Amphipoda,-1
Iridea,Amphipoda,1
Leathesia,Amphipoda,1
Polysiphonia,Amphipoda,1
Prionitis,Amphipoda,1
Callithamnion,Amphipoda,1
Amphipoda,Amphipoda,1
Notoplana,Amphipoda,-1
Staphylinid-Beetle,Amphipoda,-1
Diatoms,Amphissa-columbiana,1
Anthopleura,Amphissa-columbiana,-1
Lepasterias-hexactis,Amphissa-columbiana,-1
Amphissa-columbiana,Amphissa-columbiana,1
Hallosaccion,Idotea,1
Mastocarpus,Idotea,1
Ulva,Idotea,1
Porphyra,Idotea,1
Acrosiphonia,Idotea,1
Diatoms,Idotea,1
Fucus,Idotea,1
Microcladia,Idotea,1
Hedophyllum,Idotea,1
Anthopleura,Idotea,-1
Iridea,Idotea,1
Leathesia,Idotea,1
Polysiphonia,Idotea,1
Prionitis,Idotea,1
Callithamnion,Idotea,1
Nucella-ostrina,Idotea,1
Nucella-canalicalata,Idotea,1
Idotea,Idotea,1
Diatoms,Cirolana,1
Anthopleura,Cirolana,-1
Cirolana,Cirolana,1
Notoplana,Cirolana,-1
Diatoms,Chironomidae,1
Chironomidae,Chironomidae,1
Notoplana,Chironomidae,-1
Corallina-vancouvriensis,Tonicella-lineata,1
Diatoms,Tonicella-lineata,1
Nucella-canalicalata,Tonicella-lineata,-1
Lepasterias-hexactis,Tonicella-lineata,-1
Tonicella-lineata,Tonicella-lineata,1
Ocenebra-interfossa,Tonicella-lineata,-1
Diatoms,Calliostoma-ligatum,1
Halichondria-Haliclona,Calliostoma-ligatum,1
Anthopleura,Calliostoma-ligatum,-1
Lepasterias-hexactis,Calliostoma-ligatum,-1
Calliostoma-ligatum,Calliostoma-ligatum,1
Diatoms,Sipunculid,1
Sipunculid,Sipunculid,1
Diatoms,Cucumaria,1
Cucumaria,Cucumaria,1
Mytilus-trossulus,Ocenebra-interfossa,1
Semibalanus-cariosus,Ocenebra-interfossa,1
Balanus-glandula,Ocenebra-interfossa,1
Anthopleura,Ocenebra-interfossa,-1
Ugly-Clam,Ocenebra-interfossa,1
Lottia-pelta,Ocenebra-interfossa,1
Lottia-digitalis,Ocenebra-interfossa,1
Lottia-paradigitalis,Ocenebra-interfossa,1
Lottia-scutum,Ocenebra-interfossa,1
Mopalia,Ocenebra-interfossa,1
Lepasterias-hexactis,Ocenebra-interfossa,-1
Tonicella-lineata,Ocenebra-interfossa,1
Ocenebra-interfossa,Ocenebra-interfossa,1
Notoplana,Ocenebra-interfossa,-1
Lepidochitona,Ocenebra-interfossa,1
Mytilus-trossulus,Notoplana,1
Pollicipes,Notoplana,1
Semibalanus-cariosus,Notoplana,1
Balanus-glandula,Notoplana,1
Chthamalus,Notoplana,1
Nucella-ostrina,Notoplana,1
Nucella-canalicalata,Notoplana,1
Lottia-pelta,Notoplana,1
Lottia-digitalis,Notoplana,1
Lottia-paradigitalis,Notoplana,1
Lottia-scutum,Notoplana,1
Littorina-sitkana,Notoplana,1
Littorina-scutulata,Notoplana,1
Amphipoda,Notoplana,1
Cirolana,Notoplana,1
Chironomidae,Notoplana,1
Ocenebra-interfossa,Notoplana,1
Notoplana,Notoplana,1
Nemertea,Skinny-annelid,-1
Skinny-annelid,Skinny-annelid,1
Hallosaccion,Lepidochitona,1
Mastocarpus,Lepidochitona,1
Ulva,Lepidochitona,1
Porphyra,Lepidochitona,1
Acrosiphonia,Lepidochitona,1
Diatoms,Lepidochitona,1
Fucus,Lepidochitona,1
Iridea,Lepidochitona,1
Leathesia,Lepidochitona,1
Prionitis,Lepidochitona,1
Lepasterias-hexactis,Lepidochitona,-1
Ocenebra-interfossa,Lepidochitona,-1
Lepidochitona,Lepidochitona,1
Halichondria-Haliclona,Archidoris-montereyensis,1
Archidoris-montereyensis,Archidoris-montereyensis,1
Hedophyllum,Oedignathus,1
Anthopleura,Oedignathus,-1
Oedignathus,Oedignathus,1
Mytilus-californianus,Pinnotheres-pisum,1
Mytilus-trossulus,Pinnotheres-pisum,1
Pinnotheres-pisum,Pinnotheres-pisum,1
Diatoms,Staphylinid-Beetle,1
Amphipoda,Staphylinid-Beetle,1
Staphylinid-Beetle,Staphylinid-Beetle,1
Diatoms,Henricia,1
Henricia,Henricia,1
